iter	Passed	Remaining
299	532	1242
300	533	1238
301	534	1235
302	535	1231
303	536	1228
304	537	1224
305	538	1220
306	539	1216
307	539	1212
308	540	1209
309	541	1205
310	542	1201
311	543	1197
312	543	1193
313	544	1190
314	545	1186
315	546	1182
316	547	1179
317	548	1175
318	549	1172
319	550	1169
320	551	1166
321	552	1162
322	553	1159
323	554	1156
324	555	1152
325	556	1149
326	556	1146
327	558	1143
328	559	1140
329	559	1136
330	560	1133
331	561	1130
332	562	1127
333	563	1124
334	565	1122
335	566	1119
336	567	1116
337	568	1113
338	569	1110
339	570	1106
340	571	1103
341	571	1100
342	572	1097
343	573	1094
344	574	1091
345	575	1088
346	576	1085
347	577	1082
348	578	1078
349	579	1076
350	580	1073
351	581	1069
352	582	1066
353	582	1063
354	583	1060
355	584	1057
356	585	1054
357	586	1051
358	587	1048
359	587	1045
360	588	1042
361	589	1039
362	590	1036
363	591	1033
364	592	1030
365	592	1027
366	594	1024
367	595	1021
368	595	1019
369	596	1016
370	597	1013
371	598	1010
372	599	1007
373	600	1004
374	600	1001
375	601	998
376	602	995
377	603	992
378	604	990
379	605	987
380	605	984
381	606	981
382	607	978
383	608	976
384	609	973
385	610	971
386	611	968
387	612	965
388	613	962
389	613	960
390	614	957
391	615	954
392	616	952
393	617	949
394	618	946
395	618	944
396	619	941
397	620	938
398	621	936
399	622	933
400	623	931
401	624	929
402	625	926
403	626	923
404	627	921
405	627	918
406	628	915
407	629	913
408	630	910
409	631	908
410	631	905
411	632	902
412	633	900
413	634	897
414	635	895
415	635	892
416	636	890
417	637	888
418	638	885
419	639	883
420	640	880
421	641	878
422	642	875
423	642	873
424	643	871
425	644	868
426	645	865
427	646	863
428	646	861
429	647	858
430	648	856
431	649	853
432	650	851
433	651	849
434	652	846
435	653	844
436	653	842
437	654	840
438	655	837
439	656	835
440	657	833
441	658	831
442	659	828
443	659	826
444	660	824
445	661	821
446	662	819
447	663	817
448	663	814
449	664	812
450	665	810
451	666	807
452	667	805
453	668	803
454	669	801
455	670	799
456	671	797
457	672	795
458	673	793
459	674	791
460	674	789
461	675	786
462	676	784
463	677	782
464	678	780
465	679	778
466	679	775
467	680	773
468	681	771
469	682	770
470	683	767
471	684	765
472	685	763
473	686	761
474	687	759
475	688	757
476	689	755
477	689	753
478	690	751
479	691	749
480	692	747
481	693	745
482	694	742
483	694	740
484	695	738
485	696	736
486	697	735
487	698	733
488	699	730
489	700	728
490	701	726
491	702	724
492	702	722
493	703	720
494	704	718
495	705	716
496	706	714
497	706	712
498	707	710
499	708	708
500	709	706
501	710	704
502	711	702
503	712	700
504	713	699
505	714	697
506	714	695
507	715	693
508	716	691
509	717	689
510	718	687
511	719	685
512	719	683
513	720	681
514	721	679
515	722	677
516	723	675
517	724	673
518	724	671
519	725	670
520	727	668
521	727	666
522	728	664
523	729	662
524	730	660
525	731	659
526	732	657
527	733	655
528	733	653
529	734	651
530	735	649
531	736	647
532	737	646
533	738	644
534	739	642
535	739	640
536	740	638
537	741	637
538	742	635
539	743	633
540	744	631
541	745	629
542	746	627
543	746	626
544	747	624
545	748	622
546	749	620
547	750	618
548	750	616
549	751	615
550	752	613
551	753	611
552	754	609
553	755	608
554	756	606
555	757	604
556	758	602
557	758	601
558	759	599
559	760	597
560	761	595
561	762	594
562	763	592
563	763	590
564	764	588
565	765	586
566	766	585
567	767	583
568	767	581
569	768	579
570	769	578
571	770	576
572	771	574
573	772	573
574	773	571
575	774	569
576	774	568
577	775	566
578	776	564
579	777	562
580	778	561
581	778	559
582	779	557
583	780	556
584	781	554
585	782	552
586	783	550
587	783	549
588	784	547
589	785	546
590	786	544
591	787	542
592	788	541
593	789	539
594	790	537
595	790	536
596	791	534
597	792	532
598	793	531
599	794	529
600	795	527
601	795	526
602	796	524
603	797	522
604	798	521
605	799	519
606	800	518
607	801	516
608	801	514
609	802	513
610	803	511
611	804	509
612	805	508
613	805	506
614	806	505
615	807	503
616	808	501
617	809	500
618	809	498
619	810	496
620	811	495
621	812	493
622	813	492
623	814	490
624	815	489
625	816	487
626	816	485
627	817	484
628	818	482
629	819	481
630	820	479
631	820	478
632	821	476
633	822	474
634	823	473
635	824	471
636	825	470
637	825	468
638	826	467
639	827	465
640	828	463
641	829	462
642	830	461
643	831	459
644	832	458
645	833	456
646	834	455
647	834	453
648	835	452
649	836	450
650	837	448
651	838	447
652	839	445
653	839	444
654	840	442
655	841	441
656	842	439
657	843	438
658	844	436
659	844	435
660	845	433
661	846	432
662	847	430
663	848	429
664	849	428
665	850	426
666	851	425
667	852	423
668	853	422
669	854	420
670	854	419
671	855	417
672	856	416
673	857	414
674	858	413
675	859	412
676	860	410
677	861	409
678	862	407
679	863	406
680	863	404
681	864	403
682	865	401
683	866	400
684	867	398
685	868	397
686	869	395
687	869	394
688	870	392
689	871	391
690	872	390
691	873	388
692	874	387
693	875	385
694	876	384
695	876	382
696	877	381
697	878	380
698	879	378
699	880	377
700	880	375
701	881	374
702	882	372
703	883	371
704	884	369
705	884	368
706	885	367
707	886	365
708	887	364
709	888	362
710	889	361
711	890	360
712	891	358
713	891	357
714	892	355
715	893	354
716	894	353
717	895	351
718	896	350
719	896	348
720	897	347
721	898	346
722	899	344
723	900	343
724	901	341
725	901	340
726	902	339
727	904	337
728	904	336
729	905	335
730	906	333
731	907	332
732	908	330
733	909	329
734	910	328
735	910	326
736	911	325
737	912	323
738	913	322
739	914	321
740	915	319
741	915	318
742	916	317
743	917	315
744	918	314
745	919	313
746	920	311
747	921	310
748	922	309
749	923	307
750	924	306
751	925	305
752	925	303
753	926	302
754	927	300
755	928	299
756	929	298
757	929	296
758	930	295
759	931	294
760	932	292
761	933	291
762	934	290
763	935	288
764	936	287
765	936	286
766	937	284
767	938	283
768	939	282
769	940	280
770	940	279
771	941	278
772	942	276
773	943	275
774	944	274
775	945	272
776	946	271
777	947	270
778	948	268
779	948	267
780	949	266
781	950	265
782	951	263
783	952	262
784	953	261
785	954	259
786	954	258
787	955	257
788	956	255
789	957	254
790	958	253
791	959	251
792	959	250
793	960	249
794	961	247
795	962	246
796	963	245
797	964	244
798	965	242
799	966	241
800	966	240
801	967	238
802	968	237
803	969	236
804	970	235
805	971	233
806	971	232
807	972	231
808	973	229
809	974	228
810	975	227
811	975	225
812	976	224
813	977	223
814	978	222
815	979	220
816	980	219
817	981	218
818	982	217
819	982	215
820	983	214
821	984	213
822	985	211
823	986	210
824	987	209
825	987	208
826	988	206
827	989	205
828	990	204
829	991	203
830	992	201
831	993	200
832	994	199
833	995	198
834	996	196
835	996	195
836	997	194
837	998	193
838	999	191
839	1000	190
840	1001	189
841	1001	188
842	1002	186
843	1003	185
844	1004	184
845	1005	182
846	1006	181
847	1007	180
848	1008	179
849	1009	178
850	1009	176
851	1010	175
852	1011	174
853	1012	173
854	1013	171
855	1013	170
856	1014	169
857	1015	168
858	1016	166
859	1017	165
860	1017	164
861	1018	163
862	1019	161
863	1020	160
864	1021	159
865	1022	158
866	1023	157
867	1024	155
868	1025	154
869	1026	153
870	1026	152
871	1027	150
872	1028	149
873	1029	148
874	1030	147
875	1031	145
876	1031	144
877	1032	143
878	1033	142
879	1034	141
880	1035	139
881	1036	138
882	1037	137
883	1038	136
884	1038	134
885	1039	133
886	1040	132
887	1041	131
888	1042	130
889	1043	128
890	1043	127
891	1044	126
892	1045	125
893	1046	124
894	1047	122
895	1048	121
896	1048	120
897	1049	119
898	1050	118
899	1051	116
900	1052	115
901	1053	114
902	1054	113
903	1055	112
904	1056	110
905	1056	109
906	1057	108
907	1058	107
908	1059	106
909	1060	104
910	1060	103
911	1061	102
912	1062	101
913	1063	100
914	1064	98
915	1065	97
916	1066	96
917	1067	95
918	1068	94
919	1068	92
920	1069	91
921	1070	90
922	1071	89
923	1072	88
924	1072	86
925	1073	85
926	1074	84
927	1075	83
928	1076	82
929	1077	81
930	1077	79
931	1078	78
932	1079	77
933	1081	76
934	1081	75
935	1082	74
936	1083	72
937	1084	71
938	1085	70
939	1086	69
940	1086	68
941	1087	66
942	1088	65
943	1089	64
944	1090	63
945	1090	62
946	1091	61
947	1092	59
948	1093	58
949	1094	57
950	1095	56
951	1096	55
952	1097	54
953	1098	52
954	1099	51
955	1099	50
956	1100	49
957	1101	48
958	1102	47
959	1103	45
960	1104	44
961	1104	43
962	1105	42
963	1106	41
964	1107	40
965	1108	39
966	1109	37
967	1110	36
968	1111	35
969	1112	34
970	1112	33
971	1113	32
972	1114	30
973	1115	29
974	1116	28
975	1117	27
976	1117	26
977	1118	25
978	1119	24
979	1120	22
980	1121	21
981	1122	20
982	1123	19
983	1124	18
984	1125	17
985	1126	15
986	1126	14
987	1127	13
988	1128	12
989	1129	11
990	1130	10
991	1131	9
992	1132	7
993	1132	6
994	1133	5
995	1134	4
996	1135	3
997	1136	2
998	1136	1
999	1137	0
